Theta,Phi,Sigma1,Sigma2,Shear,VM,Shear1,Error
60,60,nan,nan,nan,nan,nan,
60,62,12249.38005,4052.426333,4606.89559,49521.29529,24641.34774,
60,64,10609.49533,3311.102428,4691.374898,41384.13513,20364.51078,
60,66,10051.50192,3578.353741,4109.260969,37978.2675,18802.83956,
60,68,9470.636612,2184.547902,2715.949553,33801.20944,16739.42028,
60,70,7570.662314,2100.11371,2424.504607,29215.23903,14470.23419,
60,72,7282.616373,2294.109778,2422.553151,28840.29667,14251.42838,
60,74,6872.536005,2308.485744,2821.543309,24800.26627,12354.47143,
60,76,6037.2537,1828.860691,1501.155785,19650.01904,9777.226212,
60,78,4994.3515,1343.076903,1362.823992,17373.20131,8650.16745,
60,80,5431.259474,1759.903172,1057.613213,17807.2291,8912.312115,
60,82,nan,nan,nan,nan,nan,
60,84,nan,nan,nan,nan,nan,'NoneType' object is not subscriptable
60,86,nan,nan,nan,nan,nan,'NoneType' object is not subscriptable
60,88,nan,nan,nan,nan,nan,"Command '['gmsh', 'wing.geo', '-2', '-o', 'wing.msh', '-format', 'msh2', '-clscale', '1.5']' timed out after 30.0 seconds"
60,90,nan,nan,nan,nan,nan,'NoneType' object is not subscriptable
62,60,21820.26636,4118.262958,7612.719535,52133.69867,25736.8964,
62,62,18129.53721,4443.961738,6020.262855,59795.2954,29467.71236,
62,64,11252.90685,3394.560531,4229.188142,42977.93341,20995.50999,
62,66,13113.7566,3025.070856,3789.287456,40385.20117,19966.39121,
62,68,8789.022873,2469.466052,3401.844018,30364.49249,15190.02621,
62,70,12278.76635,3690.750268,4101.664376,42161.09356,20854.75227,
62,72,6044.241859,1785.430606,1265.949251,27051.8786,13382.99742,
62,74,6961.640019,1871.206363,2020.151472,21033.35614,10452.68914,
62,76,8008.129063,2346.100452,1586.742987,26311.04989,12930.34486,
62,78,7081.138849,1956.781497,1564.351032,20727.91645,10320.67994,
62,80,5750.393087,1611.106673,1089.657099,23615.50113,11704.49217,
62,82,4994.14329,1288.059967,873.6448495,18449.6767,9240.644451,
62,84,nan,nan,nan,nan,nan,
62,86,nan,nan,nan,nan,nan,
62,88,nan,nan,nan,nan,nan,"Command '['gmsh', 'wing.geo', '-2', '-o', 'wing.msh', '-format', 'msh2', '-clscale', '1.5']' timed out after 30.0 seconds"
62,90,nan,nan,nan,nan,nan,'NoneType' object is not subscriptable
64,60,17662.24088,4065.574265,6508.354212,52048.59399,25635.88636,
64,62,16263.06242,3636.381845,7214.936934,60245.98513,29240.13228,
64,64,15851.93373,3572.879032,6685.975914,46244.51062,22907.65139,
64,66,11307.33144,3292.961503,3656.55016,40704.18006,20060.43799,
64,68,7937.230613,2024.140241,2989.127685,32581.39704,16200.4011,
64,70,9382.765886,2479.621301,3308.91607,30850.44449,15307.43785,
64,72,11395.48235,2234.399173,3029.059026,39350.77327,19167.39679,
64,74,8265.948527,2147.052827,1611.544294,25881.75357,12929.7316,
64,76,6984.112259,1827.497043,1799.234547,31190.03773,15480.46665,
64,78,7798.01629,1904.094907,1486.855662,28446.94736,14130.24299,
64,80,7024.311864,1719.526114,1510.929338,23228.88161,11616.1075,
64,82,5821.131551,1394.426016,632.0492719,18413.16853,9228.251154,
64,84,5233.002868,1371.741008,433.9995277,18603.80388,9284.124428,
64,86,5025.919887,1354.655618,344.8665587,16072.1266,8014.634994,
64,88,11917.37017,2936.10638,892.0668172,18867.53594,9790.751021,
64,90,nan,nan,nan,nan,nan,"Command '['gmsh', 'wing.geo', '-2', '-o', 'wing.msh', '-format', 'msh2', '-clscale', '1.5']' timed out after 30.0 seconds"
66,60,nan,nan,nan,nan,nan,
66,62,16392.98157,3327.478332,6073.46733,60770.14436,29710.22676,
66,64,nan,nan,nan,nan,nan,
66,66,17301.27607,2732.721646,4767.182947,54750.32377,27034.3208,
66,68,9522.874022,1892.05706,2991.718467,32785.56324,16184.75834,
66,70,8672.520574,2045.315891,2230.75808,31617.24643,15506.88254,
66,72,9914.310462,2258.459563,2119.417318,34910.5136,17498.17729,
66,74,9806.635501,2273.404399,2058.020635,36419.19483,18161.59237,
66,76,7446.912878,1596.787242,1334.377996,22284.32967,10967.60733,
66,78,6655.929858,1495.811045,1189.133901,24450.39903,12124.28699,
66,80,6975.412784,1501.59111,1097.269195,21795.42981,10852.07484,
66,82,8011.660835,1562.560417,1280.257058,28633.61279,14350.9929,
66,84,5433.973754,1138.07534,444.3151821,18381.30142,9223.687675,
