E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy
130000000000.0,5000000000.0,4000000000.0,61.80119325193507,62.2275353545232,795597.6208487677,216580.68342979136,166597.8704274379,2030840.0839075956,962889.0641503489,0.001609434505556149,1.7990224782269426e-05
130000000000.0,5000000000.0,6000000000.0,63.42425660748904,68.37473810756603,573469.1464870669,140450.37534418562,123305.9769973539,1803735.1429367992,853598.471421855,0.001204302128906251,-6.705125644808383e-08
130000000000.0,5000000000.0,8000000000.0,60.58838061429709,83.84062510645033,191403.5367430798,64105.82898796079,11971.943448920763,1250457.5725860733,590760.5423396818,0.0004975664132367413,-6.363048737948859e-08
155000000000.0,5000000000.0,4000000000.0,63.84034050268781,87.45531894583208,186605.42292549505,48816.77585663626,3847.9711131075237,1036328.5726933482,487473.418408898,0.00043331004086352725,-8.909650253001123e-08
155000000000.0,5000000000.0,6000000000.0,61.967497284753804,62.2078001579774,921158.4987080627,275972.25482985284,183835.35450019804,2123726.2921867045,1004728.5136347171,0.0013134961496696438,4.985728797247472e-05
155000000000.0,5000000000.0,8000000000.0,65.41150605986658,67.46121427003787,719667.6030271607,150631.3146671909,148337.09961410117,2145131.0971962623,1014177.6503721261,0.001196632385681174,8.149348253367207e-06
180000000000.0,5000000000.0,4000000000.0,60.162079278253515,83.55153589984666,174621.038915873,58063.86105460406,13430.6780145605,1303091.0551349793,617774.9634465443,0.00034667513264955915,-8.555098093716091e-08
180000000000.0,5000000000.0,6000000000.0,60.97436847783306,62.336258530413176,693944.5714828332,221815.29340107203,216232.97138269513,2148740.363613886,1016648.4605378646,0.0010484716686874637,4.217581674601818e-05
180000000000.0,5000000000.0,8000000000.0,62.94941286065347,88.46622586687243,nan,nan,nan,nan,nan,nan,nan
205000000000.0,5000000000.0,4000000000.0,65.18613093962257,65.20568076971482,802372.6929069903,190611.60643614,195518.47595069482,2355928.3498364678,1117386.4375862982,0.0011517911604909219,1.8232633285651005e-05
205000000000.0,5000000000.0,6000000000.0,65.04387999874191,65.02567257400747,878191.8392915158,192484.5249335827,181093.96597608458,2391823.663743544,1132466.3946417784,0.001092415809503703,4.5475086397222324e-05
205000000000.0,5000000000.0,8000000000.0,60.9320021043953,85.47474878737569,nan,nan,nan,nan,nan,nan,nan
230000000000.0,5000000000.0,4000000000.0,63.66136259887461,87.46852153705386,168324.72406635212,43004.32413984719,3667.3716291167,1377590.5323586103,653092.8463377806,0.00028471247672913914,-8.957932916350636e-08
230000000000.0,5000000000.0,6000000000.0,63.858818270302564,88.06743345851993,188847.33387983957,45996.43279050244,2528.238339088988,1423299.2379314124,673865.4091655868,0.0002901164244961526,-8.50248109574645e-08
230000000000.0,5000000000.0,8000000000.0,69.084675723248,89.62793580502122,311851.06886582845,74196.83240478905,561.4524436189095,1707367.5964766683,807923.0707757783,0.00041567128913753797,-6.760672218816301e-08
130000000000.0,7500000000.0,4000000000.0,60.65890946911011,67.36663965718307,511872.3019438043,166249.17782918795,108069.10228527189,1486406.2964498983,705741.7527396537,0.0010990454744502047,-6.899166767263022e-08
130000000000.0,7500000000.0,6000000000.0,60.53012744208552,83.59716719259538,220432.92986936262,70629.87086808681,13550.834380283515,1001710.6508703276,474437.1427299031,0.00048447330419133924,-6.026370295099526e-08
130000000000.0,7500000000.0,8000000000.0,61.583121964641606,61.57893021898721,835554.4310831786,250138.0862222577,219327.4950501775,1690456.1998928075,798205.5518293963,0.0014725488806893584,1.2641760351792165e-05
155000000000.0,7500000000.0,4000000000.0,63.25532044051572,85.62032042692937,200322.17361213916,51905.54869275924,7915.65699700902,1131179.6747103336,537410.8457308619,0.00044574286078922533,-6.427260735995361e-08
155000000000.0,7500000000.0,6000000000.0,61.27833233817954,84.7868131907753,190134.13673227056,58652.66727181431,11165.618661641289,1093458.6795132277,518357.86213502666,0.0004024757501428066,-6.132443035248277e-08
155000000000.0,7500000000.0,8000000000.0,61.13992261332301,84.91816855394846,210717.7898040142,65067.50976182078,8419.089688146225,1116272.0493923116,528011.8383788099,0.00040998347207550216,-5.232133318751772e-08
180000000000.0,7500000000.0,4000000000.0,66.569474004944,88.75924528769971,212699.78446163982,44477.41668190528,1669.136364369202,1180566.5012472267,561136.4590390623,0.0004154660498060865,-7.171555429023718e-08
180000000000.0,7500000000.0,6000000000.0,62.12082136305867,67.21294190337075,536052.6924933116,162714.87246866105,122606.84908409219,1573730.5916646717,743821.9635010711,0.0008707824989556899,-6.229136445086592e-08
180000000000.0,7500000000.0,8000000000.0,62.63664692152521,68.48325699007786,542854.1334685524,151859.1150242614,113716.24367921887,1626309.8156139972,768202.4855831354,0.0008303816889752636,-5.931594148085096e-08
205000000000.0,7500000000.0,4000000000.0,69.14686388546454,89.75828397757203,253057.09446806263,49582.095235227345,238.8516510593763,1310718.2795732366,622632.6152765737,0.0004447098698840161,-5.6725809344109474e-08
205000000000.0,7500000000.0,6000000000.0,64.77360795841616,89.55040998287797,184061.67915093538,41451.670665448415,401.5557053169905,1177308.0237984231,558118.0270780222,0.00031791740010245987,-5.747244399645387e-08
205000000000.0,7500000000.0,8000000000.0,69.33640722792437,88.77678144262089,329596.5967753986,65684.90373348359,2373.8557015747647,1434112.355889721,679007.075172059,0.0004998115767776048,-5.7567558312283724e-08
230000000000.0,7500000000.0,4000000000.0,69.29940545682261,88.83227849433192,255021.9574636491,52775.586074350926,1474.4404605037562,1338734.5332124108,636193.9894398471,0.00038756206809359255,-5.685282853206535e-08
230000000000.0,7500000000.0,6000000000.0,64.91678248085755,60.22725892388338,1161427.5163427538,252418.69586296473,278581.47249406634,2453943.078711054,1163132.5542162838,0.0012569544147697828,8.197029844088532e-05
230000000000.0,7500000000.0,8000000000.0,64.9385601784875,71.27669026760135,543311.1295212414,121031.3884433792,94532.41498782119,1876139.6793750664,889999.0855925989,0.0006814257432808377,-5.659693020635189e-08
