E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy,,E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy,,E1,E2,G12,theta,phi,max_vm,max_shear1,ux,uy
1.3E+11,5000000000,4000000000,61.80119325,62.22753535,795597.6208,216580.6834,166597.8704,2030840.084,962889.0642,0.001609435,1.80E-05,,2.05E+11,10000000000,4000000000,60.00727986,83.0108865,172485.5411,57259.93734,15142.77897,913163.4474,431096.3731,0.000295959,-4.50376E-08,,2.05E+11,10000000000,4000000000,60.00727986,83.0108865,913163.4474,431096.3731,0.000295959,-4.50376E-08
1.3E+11,5000000000,6000000000,63.42425661,68.37473811,573469.1465,140450.3753,123305.977,1803735.143,853598.4714,0.001204302,-6.71E-08,,1.3E+11,10000000000,8000000000,63.3107838,86.38272041,235916.0818,65518.87415,6233.483944,989233.4081,468190.5025,0.000543256,-4.61956E-08,,1.3E+11,10000000000,8000000000,63.3107838,86.38272041,989233.4081,468190.5025,0.000543256,-4.61956E-08
1.3E+11,5000000000,8000000000,60.58838061,83.84062511,191403.5367,64105.82899,11971.94345,1250457.573,590760.5423,0.000497566,-6.36E-08,,1.3E+11,7500000000,6000000000,60.53012744,83.59716719,220432.9299,70629.87087,13550.83438,1001710.651,474437.1427,0.000484473,-6.02637E-08,,1.3E+11,7500000000,6000000000,60.53012744,83.59716719,1001710.651,474437.1427,0.000484473,-6.02637E-08
1.55E+11,5000000000,4000000000,63.8403405,87.45531895,186605.4229,48816.77586,3847.971113,1036328.573,487473.4184,0.00043331,-8.91E-08,,1.8E+11,10000000000,6000000000,63.43255527,87.18252412,196185.3615,51218.44075,5218.93154,1028024.676,487710.1152,0.000365393,-5.21338E-08,,1.8E+11,10000000000,6000000000,63.43255527,87.18252412,1028024.676,487710.1152,0.000365393,-5.21338E-08
1.55E+11,5000000000,6000000000,61.96749728,62.20780016,921158.4987,275972.2548,183835.3545,2123726.292,1004728.514,0.001313496,4.99E-05,,1.55E+11,10000000000,8000000000,63.30269012,86.34624584,209144.6305,57585.81344,6890.519712,1035600.328,490328.9516,0.000450284,-4.61629E-08,,1.55E+11,10000000000,8000000000,63.30269012,86.34624584,1035600.328,490328.9516,0.000450284,-4.61629E-08
1.55E+11,5000000000,8000000000,65.41150606,67.46121427,719667.603,150631.3147,148337.0996,2145131.097,1014177.65,0.001196632,8.15E-06,,1.55E+11,5000000000,4000000000,63.8403405,87.45531895,186605.4229,48816.77586,3847.971113,1036328.573,487473.4184,0.00043331,-8.90965E-08,,,,,,,,,,
1.8E+11,5000000000,4000000000,60.16207928,83.5515359,174621.0389,58063.86105,13430.67801,1303091.055,617774.9634,0.000346675,-8.56E-08,,1.55E+11,7500000000,6000000000,61.27833234,84.78681319,190134.1367,58652.66727,11165.61866,1093458.68,518357.8621,0.000402476,-6.13244E-08,,,,,,,,,,
1.8E+11,5000000000,6000000000,60.97436848,62.33625853,693944.5715,221815.2934,216232.9714,2148740.364,1016648.461,0.001048472,4.22E-05,,2.3E+11,10000000000,6000000000,64.04415886,89.34537042,178116.0094,44517.10176,603.2708976,1098951.921,521299.8558,0.000274907,-4.49358E-08,,,,,,,,,,
1.8E+11,5000000000,8000000000,62.94941286,88.46622587,nan,nan,nan,nan,nan,nan,nan,,1.8E+11,10000000000,8000000000,60.51561072,79.4831511,246079.4274,78136.53742,26904.80071,1107622.603,524446.9137,0.000412894,-4.9024E-08,,,,,,,,,,
2.05E+11,5000000000,4000000000,65.18613094,65.20568077,802372.6929,190611.6064,195518.476,2355928.35,1117386.438,0.001151791,1.82E-05,,1.55E+11,7500000000,8000000000,61.13992261,84.91816855,210717.7898,65067.50976,8419.089688,1116272.049,528011.8384,0.000409983,-5.23213E-08,,,,,,,,,,
